,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADOSC,CCI
58,2019-11-27,66.22399899999999,66.78600300000001,65.71399699999999,66.258003,66.258003,27778000,55.7495,344.0987,342.8393,4.7100,14.5443,21.2830,13.4545,-5.1286,18.5831,-7717678.8240,-108.3116
59,2019-11-29,66.222,66.251999,65.5,65.987999,65.987999,12328000,54.8905,343.7253,341.0694,-5.6000,15.4004,18.3417,11.8001,-5.4264,17.2265,-6928058.3685,-113.2290
60,2019-12-02,65.879997,67.27600100000001,65.737999,66.97399899999999,66.97399899999999,30372500,57.4553,343.5740,339.9625,-2.2700,29.9383,24.1400,10.7628,-5.1710,15.9338,-4801456.0843,-80.6459
61,2019-12-03,66.524002,67.582001,66.438004,67.239998,67.239998,32868500,58.1432,342.9813,339.0408,-8.8900,57.0598,40.5999,9.9335,-4.8002,14.7337,-2653945.6489,-56.0040
62,2019-12-04,67.550003,67.571999,66.57,66.606003,66.606003,27665000,55.8376,341.8547,337.7968,-16.9000,55.0909,47.8454,8.9176,-4.6528,13.5705,-3168147.8723,-54.5978
63,2019-12-05,66.566002,66.884003,65.449997,66.07399699999999,66.07399699999999,18623000,53.9155,340.8053,336.3613,-15.7400,42.1796,45.0125,7.8079,-4.6100,12.4180,-3244205.7840,-73.2168
64,2019-12-06,67.0,67.772003,66.954002,67.178001,67.178001,38062000,57.1919,339.9080,335.7468,-13.4600,58.2991,51.6558,7.2899,-4.1025,11.3924,-4075975.8264,-27.4445
65,2019-12-09,67.318001,68.889999,67.015999,67.905998,67.905998,45115500,59.2394,339.0653,335.6996,-12.6400,64.8472,58.2515,7.0913,-3.4408,10.5321,-4189711.0534,2.3835
66,2019-12-10,67.991997,70.146004,67.862,69.76799799999999,69.76799799999999,44141500,63.9627,338.9887,336.9214,-1.1500,78.3989,68.3252,7.5976,-2.3477,9.9452,-1976127.3174,62.7041
67,2019-12-11,70.375999,71.438004,70.218002,70.540001,70.540001,34489000,65.7269,338.5340,338.6353,-6.8200,81.7011,75.0132,8.2156,-1.3837,9.5993,-1927134.3787,132.1076
68,2019-12-12,70.984001,72.547997,70.646004,71.935997,71.935997,38819500,68.6961,339.0313,341.2786,7.4600,85.3804,80.1968,9.1629,-0.3491,9.5120,-851306.3101,165.3327
69,2019-12-13,72.209999,73.042,70.928001,71.678001,71.678001,32854500,67.5375,339.2687,343.6984,3.5600,81.3726,80.7847,9.6978,0.1487,9.5492,-941047.8661,165.6919
70,2019-12-16,72.510002,76.722,72.5,76.300003,76.300003,90871000,75.4763,342.4993,348.9773,48.4600,88.3048,84.5447,11.8500,1.8406,10.0093,3734497.3487,203.6796
71,2019-12-17,75.797997,77.099998,75.18,75.797997,75.797997,42484000,73.3878,345.3427,353.5387,42.6500,84.6929,84.6188,13.2008,2.5532,10.6476,4344589.0413,169.1795
72,2019-12-18,76.125999,79.043999,76.115997,78.629997,78.629997,70605000,77.2010,349.6247,359.5146,64.2300,89.8816,87.2502,15.2383,3.6725,11.5658,7421680.4915,164.7709
73,2019-12-19,79.46399699999999,81.370003,79.300003,80.807999,80.807999,90535500,79.6086,354.4747,366.3165,72.7500,92.2497,89.7500,17.5297,4.7711,12.7586,10638757.1863,169.5334
74,2019-12-20,82.057999,82.599998,80.038002,81.11799599999999,81.11799599999999,73763500,79.9318,359.5180,372.7059,75.6500,88.7882,89.2691,19.2488,5.1922,14.0566,10251138.5788,147.4816
75,2019-12-23,82.356003,84.402,82.0,83.844002,83.844002,66598000,82.5391,365.1413,380.1687,84.3500,91.3687,90.3189,21.4637,5.9256,15.5380,11429645.7019,142.3632
76,2019-12-24,83.67199699999999,85.094002,82.538002,85.050003,85.050003,40273500,83.5521,371.0780,387.6823,89.0500,95.4393,92.8791,23.4353,6.3179,17.1175,13347326.4927,126.4574
77,2019-12-26,85.582001,86.695999,85.269997,86.188004,86.188004,53169500,84.4633,377.6053,395.1650,97.9100,94.2854,93.5823,25.1669,6.4396,18.7274,13891258.4420,127.1167
78,2019-12-27,87.0,87.061996,85.222,86.07599599999999,86.07599599999999,49728500,83.9727,384.2727,401.7618,100.0100,90.1239,91.8531,26.1921,5.9718,20.2203,12623912.9680,110.1728
79,2019-12-30,85.758003,85.800003,81.851997,82.940002,82.940002,62932000,71.5124,389.5267,405.5653,78.8100,55.5034,73.6782,25.4460,4.1806,21.2655,9160347.5059,70.4103
80,2019-12-31,81.0,84.258003,80.416,83.666,83.666,51428500,72.5236,394.7800,409.1657,78.8000,52.2025,62.9404,24.8611,2.8765,21.9846,9174834.0117,53.2958
81,2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002,47660500,75.5766,400.2080,413.6007,81.4200,68.5027,65.7215,25.0712,2.4692,22.6019,11082741.3059,81.0997
82,2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500,78.3333,406.2287,418.9509,90.3100,73.6678,69.6946,25.9671,2.6922,23.2749,9232875.7435,120.8406
83,2020-01-06,88.094002,90.311996,88.0,90.307999,90.307999,50665000,79.9551,412.3527,424.6148,91.8600,84.4648,77.0797,27.0536,3.0229,24.0307,10849740.4010,120.9249
84,2020-01-07,92.279999,94.32599599999999,90.67199699999999,93.811996,93.811996,89410500,82.7899,419.7307,431.7033,110.6700,90.3848,83.7323,28.9942,3.9708,25.0234,14613872.7401,165.9105
85,2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001,155721500,85.6536,427.1067,440.7544,110.6400,91.0572,87.3948,32.0253,5.6015,26.4238,20575762.9928,197.3950
